IPSL-CM6A-LR	Omon	expc
CESM2-WACCM	day	rsds
IPSL-CM6A-LR	Eday	loadbc
CESM2-WACCM	Oday	chlos
CESM2-WACCM	LImon	sftgif
BCC-CSM2-MR	Amon	rlut
GISS-E2-1-G	SImon	sithick
IPSL-CM6A-LR	Lmon	landCoverFrac
GISS-E2-1-G	Amon	rlut
CESM2	SImon	siv
IPSL-CM6A-ATM-HR	day	clt
CNRM-CM6-1	CFsubhr	tnhusscpbl
CNRM-ESM2-1	fx	sftgif
GFDL-CM4	Lmon	evspsblsoi
IPSL-CM6A-LR	Oyr	chlmisc
CESM2	Omon	co3os
CESM2-WACCM	Omon	phyc
CESM2	Eday	mlotst
CNRM-ESM2-1	Omon	dpo2
HadGEM3-GC31-LL	Emon	od443dust
IPSL-CM6A-LR	E3hr	gpp
CESM2	day	tasmax
IPSL-CM6A-LR	Omon	bfeos
CESM2	SImon	sifllwdtop
GFDL-CM4	Amon	evspsbl
IPSL-CM6A-LR	AERmon	va
CESM2	Lmon	ra
BCC-ESM1	SImon	sifllwdtop
CNRM-CM6-1	CFsubhr	rsds
CESM2	Emon	c14Veg
CNRM-CM6-1	Amon	n2oglobal
CESM2	Ofx	areacello
CNRM-ESM2-1	3hr	prc
BCC-CSM2-MR	Amon	ccb
CNRM-ESM2-1	Omon	sios
IPSL-CM6A-LR	Amon	sfcWind
CNRM-ESM2-1	SImon	siflswdbot
GFDL-CM4	AERmon	od440aer
CNRM-ESM2-1	SImon	siflfwdrain
CESM2-WACCM	day	sfcWind
IPSL-CM6A-LR	CF3hr	rsus
CNRM-CM6-1	CFmon	clis
CESM2	CFmon	tnhusd
CESM2-WACCM	SImon	sidmasstrany
IPSL-CM6A-LR	CFmon	rsu
GISS-E2-1-G	Emon	cSoilAbove1m
IPSL-CM6A-LR	Omon	graz
IPSL-CM6A-LR	CF3hr	rlut
CESM2	Emon	cVegTree
IPSL-CM6A-ATM-HR	Eday	ua
BCC-CSM2-MR	Omon	so
CNRM-ESM2-1	Omon	zsatcalc
CNRM-CM6-1	Emon	thetaot700
IPSL-CM6A-LR	CFmon	rsdcs4co2
CNRM-CM6-1	day	vas
CESM2	SImon	sisaltmass
IPSL-CM6A-LR	SImon	siage
IPSL-CM6A-LR	CFsubhr	rsucs
E3SM-1-0	Amon	ts
IPSL-CM6A-ATM-HR	Lmon	grassFrac
CESM2-WACCM	AERmonZ	meanage
IPSL-CM6A-LR	Omon	no3os
GFDL-CM4	AERmon	rlutcsaf
CNRM-ESM2-1	CFsubhr	prw
IPSL-CM6A-ATM-HR	CFday	wap
IPSL-CM6A-LR	EdayZ	utendogw
CNRM-CM6-1	Amon	rsut
CESM2-WACCM	SImon	sirdgconc
