   CMIP5ModelName    RCP2.6   4.5    6.0    8.5
      GFDL-ESM2M     0.10   0.09   0.08   0.16
       GISS-E2-R     0.04   0.05   0.07   0.07
       GISS-E2-H     0.28   0.27   0.47   0.48
    GISS-E2-R-CC      NaN   0.14    NaN    NaN
    GISS-E2-H-CC      NaN   0.29    NaN    NaN
          HadCM3      NaN    NaN    NaN    NaN
       HadGEM2-A      NaN    NaN    NaN    NaN
      HadGEM2-CC      NaN   0.16    NaN   0.30
      HadGEM2-AO     0.13   0.13   0.12   0.31
          inmcm4      NaN   0.20    NaN   0.55
    IPSL-CM5A-LR     0.15   0.14   0.19   0.64
    IPSL-CM5A-MR     0.17   0.38   0.39   0.45
    IPSL-CM5B-LR      NaN   0.38    NaN   0.36
          MIROC5     0.03   0.07   0.05   0.17
       MIROC-ESM    -0.03   0.20   0.08   0.17
  MIROC-ESM-CHEM     0.01   0.03   0.08   0.15
      MPI-ESM-LR     0.07   0.10    NaN   0.27
      MPI-ESM-MR     0.06   0.14    NaN   0.20
       MPI-ESM-P      NaN    NaN    NaN    NaN
       MRI-CGCM3     0.35   0.45   0.42   0.71
       NorESM1-M    -0.06   0.05   0.09   0.04
      NorESM1-ME     0.20   0.18   0.28   0.28
WNA MAM
      HadGEM2-ES     0.10   0.10   0.13   0.04
       ACCESS1-0      NaN  -0.04    NaN  -0.04
       ACCESS1-3      NaN   0.11    NaN   0.11
      bcc-csm1-1     0.08   0.11   0.09   0.05
    bcc-csm1-1-m     0.19   0.07   0.08   0.15
         BNU-ESM    -0.12  -0.23    NaN  -0.23
          CanCM4      NaN    NaN    NaN    NaN
         CanESM2     0.15   0.19    NaN   0.22
      CESM1-CAM5     0.22   0.14   0.18   0.15
  CESM1-FASTCHEM      NaN    NaN    NaN    NaN
     CESM1-WACCM      NaN    NaN    NaN    NaN
       CMCC-CESM      NaN    NaN    NaN   0.43
         CMCC-CM      NaN   0.02    NaN   0.08
        CMCC-CMS      NaN   0.08    NaN   0.13
           CCSM4     0.03   0.01   0.13   0.03
        CNRM-CM5     0.06   0.09    NaN   0.08
   CSIRO-Mk3-6-0     0.15   0.02   0.11   0.10
        EC-EARTH      NaN    NaN    NaN   0.07
       FGOALS-g2     0.11   0.07    NaN   0.03
         FIO-ESM     0.06  -0.05  -0.01  -0.01
        GFDL-CM3     0.21   0.20   0.33   0.32
      GFDL-ESM2G     0.04   0.09   0.08   0.18
      GFDL-ESM2M     0.07   0.02   0.03   0.08
       GISS-E2-R     0.21   0.12   0.15   0.06
       GISS-E2-H     0.10   0.15   0.21   0.19
    GISS-E2-R-CC      NaN   0.11    NaN    NaN
    GISS-E2-H-CC      NaN   0.06    NaN    NaN
          HadCM3      NaN    NaN    NaN    NaN
       HadGEM2-A      NaN    NaN    NaN    NaN
