   CMIP5ModelName    RCP2.6   4.5    6.0    8.5
      HadGEM2-AO     0.02  -0.01  -0.17  -0.11
          inmcm4      NaN   0.02    NaN   0.07
    IPSL-CM5A-LR    -0.00   0.14   0.05   0.21
    IPSL-CM5A-MR     0.08   0.15   0.15   0.20
    IPSL-CM5B-LR      NaN   0.16    NaN   0.03
          MIROC5     0.16   0.28   0.31   0.36
       MIROC-ESM     0.19   0.31   0.27   0.30
  MIROC-ESM-CHEM     0.15   0.29   0.28   0.25
      MPI-ESM-LR    -0.07   0.01    NaN  -0.09
      MPI-ESM-MR     0.01   0.07    NaN   0.02
       MPI-ESM-P      NaN    NaN    NaN    NaN
       MRI-CGCM3    -0.05  -0.08  -0.02  -0.07
       NorESM1-M     0.27   0.38   0.33   0.64
      NorESM1-ME     0.32   0.34   0.41   0.48
EAS ANN
      HadGEM2-ES     0.09   0.15   0.05   0.15
       ACCESS1-0      NaN   0.26    NaN   0.16
       ACCESS1-3      NaN   0.33    NaN   0.34
      bcc-csm1-1     0.16   0.22   0.19   0.27
    bcc-csm1-1-m     0.07   0.15   0.13   0.23
         BNU-ESM     0.04   0.14    NaN   0.15
          CanCM4      NaN    NaN    NaN    NaN
         CanESM2     0.30   0.42    NaN   0.59
      CESM1-CAM5     0.27   0.42   0.32   0.45
  CESM1-FASTCHEM      NaN    NaN    NaN    NaN
     CESM1-WACCM      NaN    NaN    NaN    NaN
       CMCC-CESM      NaN    NaN    NaN   0.47
         CMCC-CM      NaN   0.12    NaN   0.13
        CMCC-CMS      NaN   0.19    NaN   0.26
           CCSM4     0.13   0.11   0.15   0.33
        CNRM-CM5     0.04   0.09    NaN   0.10
   CSIRO-Mk3-6-0     0.19   0.32   0.26   0.43
        EC-EARTH      NaN    NaN    NaN   0.18
       FGOALS-g2     0.03   0.06    NaN   0.18
         FIO-ESM    -0.06  -0.00   0.03   0.11
        GFDL-CM3     0.34   0.39   0.29   0.40
      GFDL-ESM2G     0.05   0.10   0.05   0.16
      GFDL-ESM2M     0.08   0.11   0.10   0.15
       GISS-E2-R    -0.09   0.02   0.03   0.08
       GISS-E2-H    -0.12   0.01  -0.00   0.08
    GISS-E2-R-CC      NaN  -0.06    NaN    NaN
    GISS-E2-H-CC      NaN  -0.04    NaN    NaN
          HadCM3      NaN    NaN    NaN    NaN
       HadGEM2-A      NaN    NaN    NaN    NaN
      HadGEM2-CC      NaN   0.28    NaN   0.25
      HadGEM2-AO     0.07   0.19  -0.02   0.06
          inmcm4      NaN   0.11    NaN   0.18
    IPSL-CM5A-LR     0.04   0.18   0.04   0.16
    IPSL-CM5A-MR     0.05   0.05   0.04   0.04
    IPSL-CM5B-LR      NaN   0.13    NaN   0.11
          MIROC5     0.19   0.25   0.19   0.33
       MIROC-ESM     0.19   0.27   0.27   0.28
  MIROC-ESM-CHEM     0.14   0.26   0.22   0.32
      MPI-ESM-LR     0.07   0.16    NaN   0.22
      MPI-ESM-MR     0.07   0.18    NaN   0.23
       MPI-ESM-P      NaN    NaN    NaN    NaN
       MRI-CGCM3     0.04   0.11   0.12   0.16
       NorESM1-M     0.18   0.31   0.20   0.48
      NorESM1-ME     0.25   0.29   0.22   0.42
SAS DJF
      HadGEM2-ES    -0.03   0.11   0.04   0.14
       ACCESS1-0      NaN   0.24    NaN   0.25
       ACCESS1-3      NaN   0.39    NaN   0.55
      bcc-csm1-1     0.01   0.14   0.14   0.05
    bcc-csm1-1-m     0.13   0.14   0.29   0.31
         BNU-ESM    -0.10  -0.04    NaN  -0.24
          CanCM4      NaN    NaN    NaN    NaN
         CanESM2     0.24  -0.04    NaN  -0.18
      CESM1-CAM5     0.26   0.27   0.21   0.31
  CESM1-FASTCHEM      NaN    NaN    NaN    NaN
     CESM1-WACCM      NaN    NaN    NaN    NaN
       CMCC-CESM      NaN    NaN    NaN   0.48
         CMCC-CM      NaN  -0.17    NaN  -0.15
        CMCC-CMS      NaN  -0.01    NaN  -0.06
           CCSM4     0.03  -0.07  -0.29  -0.10
        CNRM-CM5     0.04   0.10    NaN   0.07
   CSIRO-Mk3-6-0     0.32   0.23   0.49   0.36
        EC-EARTH      NaN    NaN    NaN  -0.02
       FGOALS-g2    -0.01   0.17    NaN   0.43
         FIO-ESM    -0.09  -0.02   0.10  -0.18
        GFDL-CM3     0.02  -0.09  -0.13  -0.06
      GFDL-ESM2G     0.09  -0.07   0.03  -0.13
      GFDL-ESM2M    -0.31  -0.18  -0.37  -0.36
       GISS-E2-R    -0.07  -0.07  -0.17  -0.04
       GISS-E2-H    -0.15  -0.04  -0.09  -0.05
    GISS-E2-R-CC      NaN  -0.02    NaN    NaN
    GISS-E2-H-CC      NaN  -0.09    NaN    NaN
          HadCM3      NaN    NaN    NaN    NaN
       HadGEM2-A      NaN    NaN    NaN    NaN
      HadGEM2-CC      NaN   0.07    NaN   0.10
      HadGEM2-AO     0.01   0.20   0.26   0.16
          inmcm4      NaN  -0.16    NaN  -0.25
    IPSL-CM5A-LR     0.06   0.12   0.06   0.05
    IPSL-CM5A-MR     0.10   0.14   0.14   0.15
    IPSL-CM5B-LR      NaN   0.02    NaN   0.12
          MIROC5     0.06   0.42   0.44   0.39
       MIROC-ESM     0.36   0.46   0.51   0.17
  MIROC-ESM-CHEM     0.49   0.42   0.42   0.14
      MPI-ESM-LR     0.03   0.06    NaN   0.01
      MPI-ESM-MR     0.06   0.11    NaN  -0.01
       MPI-ESM-P      NaN    NaN    NaN    NaN
       MRI-CGCM3     0.10   0.08   0.06   0.04
       NorESM1-M     0.27   0.22   0.31   0.32
      NorESM1-ME     0.35   0.38   0.51   0.47
SAS MAM
      HadGEM2-ES     0.06   0.09  -0.10  -0.11
       ACCESS1-0      NaN   0.11    NaN   0.01
       ACCESS1-3      NaN  -0.04    NaN  -0.03
      bcc-csm1-1     0.03   0.09   0.10   0.13
    bcc-csm1-1-m    -0.10   0.01  -0.07   0.06
         BNU-ESM    -0.08  -0.04    NaN  -0.20
          CanCM4      NaN    NaN    NaN    NaN
         CanESM2     0.06  -0.01    NaN  -0.05
      CESM1-CAM5     0.11   0.12  -0.07  -0.03
  CESM1-FASTCHEM      NaN    NaN    NaN    NaN
     CESM1-WACCM      NaN    NaN    NaN    NaN
       CMCC-CESM      NaN    NaN    NaN  -0.11
         CMCC-CM      NaN   0.26    NaN   0.08
        CMCC-CMS      NaN  -0.07    NaN  -0.14
           CCSM4     0.08  -0.00  -0.25  -0.19
        CNRM-CM5     0.13   0.17    NaN   0.16
   CSIRO-Mk3-6-0     0.16   0.07   0.09   0.14
        EC-EARTH      NaN    NaN    NaN   0.27
       FGOALS-g2     0.02   0.11    NaN   0.40
         FIO-ESM    -0.05  -0.09  -0.09  -0.17
        GFDL-CM3     0.06   0.16  -0.01   0.10
      GFDL-ESM2G     0.10   0.11   0.04   0.16
      GFDL-ESM2M    -0.22  -0.18  -0.24  -0.26
       GISS-E2-R    -0.06   0.10   0.13   0.18
       GISS-E2-H    -0.04   0.18   0.17   0.23
    GISS-E2-R-CC      NaN   0.11    NaN    NaN
    GISS-E2-H-CC      NaN   0.16    NaN    NaN
          HadCM3      NaN    NaN    NaN    NaN
       HadGEM2-A      NaN    NaN    NaN    NaN
      HadGEM2-CC      NaN   0.10    NaN   0.11
      HadGEM2-AO    -0.04   0.01  -0.02   0.01
          inmcm4      NaN   0.09    NaN   0.08
    IPSL-CM5A-LR     0.01   0.20   0.14   0.10
    IPSL-CM5A-MR     0.03  -0.01   0.06  -0.06
    IPSL-CM5B-LR      NaN  -0.08    NaN  -0.05
          MIROC5    -0.08   0.38   0.28   0.40
       MIROC-ESM     0.05   0.05  -0.07  -0.05
  MIROC-ESM-CHEM     0.13   0.11  -0.13  -0.06
      MPI-ESM-LR    -0.14  -0.07    NaN  -0.28
      MPI-ESM-MR    -0.08  -0.09    NaN  -0.06
       MPI-ESM-P      NaN    NaN    NaN    NaN
       MRI-CGCM3     0.01   0.07   0.04   0.04
       NorESM1-M     0.07   0.14   0.17   0.22
      NorESM1-ME     0.13   0.06   0.12   0.17
SAS JJA
      HadGEM2-ES     0.99   0.97   1.01   1.49
       ACCESS1-0      NaN   1.00    NaN   1.46
       ACCESS1-3      NaN   0.91    NaN   0.54
      bcc-csm1-1     0.62   0.90   1.04   1.60
    bcc-csm1-1-m     0.25   0.71   0.73   1.23
         BNU-ESM     0.71   0.88    NaN   1.13
          CanCM4      NaN    NaN    NaN    NaN
         CanESM2     0.45   0.69    NaN   0.88
      CESM1-CAM5     0.15   0.42   0.58   0.75
  CESM1-FASTCHEM      NaN    NaN    NaN    NaN
     CESM1-WACCM      NaN    NaN    NaN    NaN
       CMCC-CESM      NaN    NaN    NaN   0.31
         CMCC-CM      NaN   1.03    NaN   1.81
        CMCC-CMS      NaN   0.97    NaN   1.04
           CCSM4     0.28   0.62   0.53   0.70
        CNRM-CM5     0.24   0.54    NaN   0.68
   CSIRO-Mk3-6-0     0.46   0.87   0.84   1.31
        EC-EARTH      NaN    NaN    NaN   1.01
       FGOALS-g2     0.28   0.44    NaN   0.70
         FIO-ESM    -0.66  -0.41  -0.41  -0.58
        GFDL-CM3     0.54   0.60   0.57   0.58
      GFDL-ESM2G     0.16   0.28   0.33   0.30
      GFDL-ESM2M     0.04   0.32   0.17   0.59
       GISS-E2-R     0.02   0.68   0.66   0.89
       GISS-E2-H    -0.44   0.17   0.11   0.37
    GISS-E2-R-CC      NaN   0.31    NaN    NaN
    GISS-E2-H-CC      NaN   0.41    NaN    NaN
          HadCM3      NaN    NaN    NaN    NaN
       HadGEM2-A      NaN    NaN    NaN    NaN
      HadGEM2-CC      NaN   0.99    NaN   1.79
      HadGEM2-AO     0.58   0.65   0.90   1.16
          inmcm4      NaN   0.01    NaN   0.12
    IPSL-CM5A-LR     0.39   0.76   0.64   0.89
    IPSL-CM5A-MR     0.29   0.36   0.46   0.65
    IPSL-CM5B-LR      NaN   0.56    NaN   0.77
          MIROC5     0.54   0.54   0.61   0.96
       MIROC-ESM     0.26   0.30   0.18   0.27
  MIROC-ESM-CHEM     0.53   0.56   0.50   0.51
      MPI-ESM-LR     0.10   0.50    NaN   0.60
      MPI-ESM-MR     0.44   0.62    NaN   0.88
       MPI-ESM-P      NaN    NaN    NaN    NaN
       MRI-CGCM3     0.24   0.27   0.49   0.74
       NorESM1-M     0.06   0.66   0.50   0.78
      NorESM1-ME     0.38   0.82   0.52   0.93
SAS SON
      HadGEM2-ES     0.71   0.72   1.25   1.67
       ACCESS1-0      NaN   0.81    NaN   1.47
       ACCESS1-3      NaN   0.79    NaN   1.26
      bcc-csm1-1     0.29   0.54   0.54   0.84
    bcc-csm1-1-m     0.54   0.42   0.96   1.42
         BNU-ESM     0.87   0.98    NaN   1.72
          CanCM4      NaN    NaN    NaN    NaN
         CanESM2     0.85   0.78    NaN   1.25
      CESM1-CAM5     0.38   0.39   0.59   0.99
  CESM1-FASTCHEM      NaN    NaN    NaN    NaN
     CESM1-WACCM      NaN    NaN    NaN    NaN
       CMCC-CESM      NaN    NaN    NaN   1.20
         CMCC-CM      NaN   1.02    NaN   1.67
        CMCC-CMS      NaN   0.60    NaN   1.24
           CCSM4     0.50   0.63   0.64   0.96
        CNRM-CM5     0.08   0.32    NaN   0.76
   CSIRO-Mk3-6-0     0.93   1.29   1.39   1.92
        EC-EARTH      NaN    NaN    NaN   0.80
       FGOALS-g2     0.30   0.29    NaN   0.77
         FIO-ESM    -0.03   0.21   0.09   0.53
        GFDL-CM3     0.74   1.09   1.19   1.72
      GFDL-ESM2G     0.15   0.20   0.31   0.96
      GFDL-ESM2M     0.24   0.45   0.36   0.87
       GISS-E2-R     0.06   0.38   0.40   0.50
       GISS-E2-H     0.19   0.47   0.48   0.81
    GISS-E2-R-CC      NaN   0.20    NaN    NaN
    GISS-E2-H-CC      NaN   0.25    NaN    NaN
          HadCM3      NaN    NaN    NaN    NaN
       HadGEM2-A      NaN    NaN    NaN    NaN
      HadGEM2-CC      NaN   0.75    NaN   1.58
      HadGEM2-AO     0.91   1.07   1.33   1.85
          inmcm4      NaN   0.02    NaN   0.30
    IPSL-CM5A-LR     0.67   0.93   1.09   1.55
    IPSL-CM5A-MR     0.43   0.51   0.75   1.28
    IPSL-CM5B-LR      NaN   0.73    NaN   1.37
          MIROC5     0.55   0.95   1.24   1.67
       MIROC-ESM     0.71   0.78   0.64   0.77
  MIROC-ESM-CHEM     0.62   0.70   0.59   0.79
      MPI-ESM-LR     0.22   0.72    NaN   1.18
      MPI-ESM-MR     0.30   0.90    NaN   1.05
       MPI-ESM-P      NaN    NaN    NaN    NaN
       MRI-CGCM3     0.45   0.59   0.88   1.17
       NorESM1-M     0.49   0.72   0.71   1.21
      NorESM1-ME     0.53   0.86   0.88   1.36
SAS ANN
      HadGEM2-ES     0.43   0.47   0.55   0.79
       ACCESS1-0      NaN   0.54    NaN   0.79
       ACCESS1-3      NaN   0.51    NaN   0.58
      bcc-csm1-1     0.24   0.42   0.45   0.65
    bcc-csm1-1-m     0.21   0.32   0.48   0.75
         BNU-ESM     0.35   0.45    NaN   0.60
          CanCM4      NaN    NaN    NaN    NaN
         CanESM2     0.40   0.35    NaN   0.47
      CESM1-CAM5     0.23   0.30   0.33   0.51
  CESM1-FASTCHEM      NaN    NaN    NaN    NaN
     CESM1-WACCM      NaN    NaN    NaN    NaN
       CMCC-CESM      NaN    NaN    NaN   0.47
         CMCC-CM      NaN   0.54    NaN   0.85
        CMCC-CMS      NaN   0.37    NaN   0.52
           CCSM4     0.22   0.29   0.16   0.35
        CNRM-CM5     0.12   0.28    NaN   0.42
   CSIRO-Mk3-6-0     0.47   0.62   0.70   0.93
        EC-EARTH      NaN    NaN    NaN   0.52
       FGOALS-g2     0.15   0.25    NaN   0.57
         FIO-ESM    -0.21  -0.08  -0.08  -0.10
        GFDL-CM3     0.34   0.44   0.40   0.59
      GFDL-ESM2G     0.13   0.13   0.18   0.32
      GFDL-ESM2M    -0.05   0.10  -0.02   0.21
       GISS-E2-R     0.04   0.27   0.26   0.38
       GISS-E2-H    -0.03   0.20   0.17   0.34
    GISS-E2-R-CC      NaN   0.15    NaN    NaN
    GISS-E2-H-CC      NaN   0.18    NaN    NaN
          HadCM3      NaN    NaN    NaN    NaN
       HadGEM2-A      NaN    NaN    NaN    NaN
      HadGEM2-CC      NaN   0.48    NaN   0.89
      HadGEM2-AO     0.37   0.48   0.61   0.79
          inmcm4      NaN  -0.01    NaN   0.06
    IPSL-CM5A-LR     0.30   0.50   0.48   0.65
    IPSL-CM5A-MR     0.18   0.25   0.35   0.51
    IPSL-CM5B-LR      NaN   0.31    NaN   0.55
          MIROC5     0.29   0.57   0.64   0.85
       MIROC-ESM     0.34   0.40   0.31   0.29
  MIROC-ESM-CHEM     0.44   0.45   0.34   0.34
      MPI-ESM-LR     0.08   0.30    NaN   0.38
      MPI-ESM-MR     0.18   0.39    NaN   0.46
       MPI-ESM-P      NaN    NaN    NaN    NaN
       MRI-CGCM3     0.21   0.25   0.37   0.50
       NorESM1-M     0.29   0.44   0.42   0.63
      NorESM1-ME     0.41   0.53   0.51   0.73
SEA DJF
      HadGEM2-ES     0.68   0.80   0.89   1.09
       ACCESS1-0      NaN   0.45    NaN   0.63
       ACCESS1-3      NaN   0.20    NaN  -0.05
      bcc-csm1-1    -0.03   0.15   0.09   0.12
    bcc-csm1-1-m    -0.04   0.03   0.04   0.09
         BNU-ESM     0.04   0.26    NaN   0.53
          CanCM4      NaN    NaN    NaN    NaN
         CanESM2     0.23   0.17    NaN  -0.11
      CESM1-CAM5    -0.14   0.17   0.09   0.01
  CESM1-FASTCHEM      NaN    NaN    NaN    NaN
     CESM1-WACCM      NaN    NaN    NaN    NaN
       CMCC-CESM      NaN    NaN    NaN   0.01
         CMCC-CM      NaN   0.16    NaN   0.39
        CMCC-CMS      NaN   0.18    NaN   0.28
           CCSM4     0.23   0.25   0.28   0.61
        CNRM-CM5     0.29   0.46    NaN   0.64
   CSIRO-Mk3-6-0    -0.01  -0.16  -0.19  -0.61
        EC-EARTH      NaN    NaN    NaN   0.69
       FGOALS-g2     0.22   0.63    NaN   0.66
         FIO-ESM    -0.06   0.18   0.15   0.42
        GFDL-CM3     0.28   0.24   0.39   0.60
      GFDL-ESM2G     0.26   0.80   0.77   1.03
      GFDL-ESM2M     0.15   0.54   0.79   1.18
       GISS-E2-R    -0.08  -0.12  -0.28  -0.29
       GISS-E2-H     0.06   0.10   0.36   0.05
    GISS-E2-R-CC      NaN  -0.22    NaN    NaN
    GISS-E2-H-CC      NaN  -0.17    NaN    NaN
          HadCM3      NaN    NaN    NaN    NaN
       HadGEM2-A      NaN    NaN    NaN    NaN
      HadGEM2-CC      NaN   0.73    NaN   0.90
      HadGEM2-AO     0.38   0.72   0.51   0.76
          inmcm4      NaN   0.48    NaN   0.98
    IPSL-CM5A-LR     0.56   0.74   0.78   1.32
    IPSL-CM5A-MR     0.39   0.79   0.91   1.31
    IPSL-CM5B-LR      NaN   0.12    NaN   0.25
          MIROC5     0.23   0.23   0.10   0.18
       MIROC-ESM     0.29   0.26   0.23   0.25
  MIROC-ESM-CHEM     0.25   0.30   0.27   0.40
      MPI-ESM-LR     0.14   0.21    NaN   0.26
      MPI-ESM-MR     0.00   0.12    NaN   0.35
       MPI-ESM-P      NaN    NaN    NaN    NaN
       MRI-CGCM3    -0.14  -0.20  -0.34  -0.11
       NorESM1-M     0.29   0.59   0.56   1.08
      NorESM1-ME     0.45   0.74   0.72   1.04
SEA MAM
      HadGEM2-ES     0.09   0.09   0.08   0.20
       ACCESS1-0      NaN   0.06    NaN  -0.06
       ACCESS1-3      NaN   0.29    NaN   0.26
      bcc-csm1-1     0.10   0.12   0.05   0.38
    bcc-csm1-1-m     0.00   0.09   0.13   0.19
         BNU-ESM    -0.08   0.07    NaN   0.33
          CanCM4      NaN    NaN    NaN    NaN
         CanESM2     0.10   0.09    NaN  -0.03
      CESM1-CAM5    -0.28   0.04  -0.27  -0.04
  CESM1-FASTCHEM      NaN    NaN    NaN    NaN
     CESM1-WACCM      NaN    NaN    NaN    NaN
       CMCC-CESM      NaN    NaN    NaN  -0.46
         CMCC-CM      NaN   0.33    NaN   0.35
        CMCC-CMS      NaN   0.44    NaN   0.44
           CCSM4     0.13   0.30   0.36   0.61
        CNRM-CM5     0.02  -0.08    NaN  -0.01
   CSIRO-Mk3-6-0     0.27   0.82   0.38   0.26
        EC-EARTH      NaN    NaN    NaN   0.35
       FGOALS-g2     0.29   0.58    NaN   0.87
         FIO-ESM     0.06   0.19   0.15   0.42
        GFDL-CM3     0.42   0.57   0.61   0.73
      GFDL-ESM2G     0.24   0.52   0.62   0.83
      GFDL-ESM2M     0.00   0.29   0.67   0.71
       GISS-E2-R     0.16   0.03  -0.10  -0.25
       GISS-E2-H    -0.07   0.00  -0.03  -0.19
    GISS-E2-R-CC      NaN  -0.13    NaN    NaN
    GISS-E2-H-CC      NaN  -0.04    NaN    NaN
          HadCM3      NaN    NaN    NaN    NaN
       HadGEM2-A      NaN    NaN    NaN    NaN
      HadGEM2-CC      NaN  -0.05    NaN  -0.36
      HadGEM2-AO    -0.06   0.20  -0.12  -0.15
          inmcm4      NaN   0.63    NaN   1.02
    IPSL-CM5A-LR     0.47   0.73   0.81   1.36
    IPSL-CM5A-MR     0.48   0.94   0.98   1.72
    IPSL-CM5B-LR      NaN   0.11    NaN  -0.13
          MIROC5     0.07   0.26   0.00   0.16
       MIROC-ESM     0.14   0.17   0.11   0.09
  MIROC-ESM-CHEM     0.09   0.16   0.01   0.02
      MPI-ESM-LR     0.02   0.48    NaN   0.77
      MPI-ESM-MR    -0.16   0.20    NaN   0.33
       MPI-ESM-P      NaN    NaN    NaN    NaN
       MRI-CGCM3     0.19   0.30  -0.05   0.07
       NorESM1-M     0.23   0.42   0.30   0.67
      NorESM1-ME     0.28   0.44   0.45   0.67
SEA JJA
      HadGEM2-ES     0.12   0.17   0.31   0.13
       ACCESS1-0      NaN   0.37    NaN  -0.02
       ACCESS1-3      NaN   0.18    NaN   0.24
      bcc-csm1-1    -0.15  -0.14  -0.12   0.03
    bcc-csm1-1-m     0.00   0.12  -0.00   0.22
         BNU-ESM    -0.05  -0.02    NaN   0.17
          CanCM4      NaN    NaN    NaN    NaN
         CanESM2     0.13   0.25    NaN   0.13
      CESM1-CAM5     0.08   0.25   0.07   0.24
  CESM1-FASTCHEM      NaN    NaN    NaN    NaN
     CESM1-WACCM      NaN    NaN    NaN    NaN
       CMCC-CESM      NaN    NaN    NaN   1.13
         CMCC-CM      NaN   0.95    NaN   1.17
        CMCC-CMS      NaN   0.91    NaN   1.31
           CCSM4     0.13   0.26   0.31   0.66
        CNRM-CM5     0.15   0.15    NaN   0.56
   CSIRO-Mk3-6-0     0.51   1.06   0.87   1.02
        EC-EARTH      NaN    NaN    NaN   0.90
       FGOALS-g2     0.21   0.07    NaN  -0.20
         FIO-ESM    -0.15  -0.09  -0.15   0.10
        GFDL-CM3     0.74   0.90   0.87   1.02
      GFDL-ESM2G     0.35   0.81   0.68   1.03
      GFDL-ESM2M     0.44   0.59   0.83   1.07
       GISS-E2-R     0.07   0.20   0.07   0.11
       GISS-E2-H     0.09   0.08   0.16   0.19
    GISS-E2-R-CC      NaN   0.08    NaN    NaN
    GISS-E2-H-CC      NaN  -0.06    NaN    NaN
          HadCM3      NaN    NaN    NaN    NaN
       HadGEM2-A      NaN    NaN    NaN    NaN
      HadGEM2-CC      NaN   0.13    NaN   0.31
      HadGEM2-AO    -0.29   0.17  -0.18  -0.48
          inmcm4      NaN   0.82    NaN   1.42
    IPSL-CM5A-LR     0.45   0.59   0.61   1.25
    IPSL-CM5A-MR     0.37   0.86   0.90   1.67
    IPSL-CM5B-LR      NaN   0.07    NaN   0.02
          MIROC5     0.35   0.53   0.35   0.76
       MIROC-ESM     0.12   0.29   0.31   0.48
  MIROC-ESM-CHEM     0.25   0.21   0.27   0.46
      MPI-ESM-LR     0.46   0.68    NaN   1.25
      MPI-ESM-MR     0.31   0.70    NaN   1.19
       MPI-ESM-P      NaN    NaN    NaN    NaN
       MRI-CGCM3     0.33   0.50   0.27   0.63
       NorESM1-M     0.08   0.08   0.30   0.58
      NorESM1-ME     0.15   0.33   0.27   0.71
SEA SON
      HadGEM2-ES     0.34   0.41   0.51   0.36
       ACCESS1-0      NaN   0.23    NaN   0.08
       ACCESS1-3      NaN   0.03    NaN  -0.33
      bcc-csm1-1     0.08   0.11   0.19   0.22
    bcc-csm1-1-m    -0.14   0.03  -0.05   0.06
         BNU-ESM    -0.05   0.11    NaN   0.32
          CanCM4      NaN    NaN    NaN    NaN
         CanESM2     0.10   0.22    NaN   0.48
      CESM1-CAM5    -0.14   0.20   0.11   0.18
  CESM1-FASTCHEM      NaN    NaN    NaN    NaN
     CESM1-WACCM      NaN    NaN    NaN    NaN
       CMCC-CESM      NaN    NaN    NaN  -0.23
         CMCC-CM      NaN   0.26    NaN   0.57
        CMCC-CMS      NaN   0.30    NaN   0.49
           CCSM4     0.14   0.19   0.26   0.62
        CNRM-CM5     0.02   0.05    NaN   0.15
   CSIRO-Mk3-6-0    -0.02   0.33   0.19   0.12
        EC-EARTH      NaN    NaN    NaN   0.54
       FGOALS-g2     0.10   0.29    NaN   0.26
         FIO-ESM    -0.10  -0.02   0.12   0.18
        GFDL-CM3     0.34   0.53   0.57   0.81
      GFDL-ESM2G     0.18   0.47   0.57   0.93
      GFDL-ESM2M    -0.23   0.23   0.43   0.70
       GISS-E2-R     0.07   0.17   0.20   0.04
       GISS-E2-H    -0.05  -0.02   0.08   0.09
    GISS-E2-R-CC      NaN   0.21    NaN    NaN
    GISS-E2-H-CC      NaN   0.03    NaN    NaN
          HadCM3      NaN    NaN    NaN    NaN
       HadGEM2-A      NaN    NaN    NaN    NaN
      HadGEM2-CC      NaN   0.56    NaN   0.45
      HadGEM2-AO    -0.24   0.21  -0.28  -0.06
          inmcm4      NaN   0.22    NaN   0.55
    IPSL-CM5A-LR     0.46   0.79   0.66   1.33
    IPSL-CM5A-MR     0.49   0.84   0.87   1.69
    IPSL-CM5B-LR      NaN   0.10    NaN   0.37
          MIROC5    -0.07   0.11  -0.55  -0.40
       MIROC-ESM    -0.10   0.06  -0.02   0.08
  MIROC-ESM-CHEM    -0.20  -0.05  -0.13   0.02
      MPI-ESM-LR     0.02   0.19    NaN   0.24
      MPI-ESM-MR     0.01   0.20    NaN   0.37
       MPI-ESM-P      NaN    NaN    NaN    NaN
       MRI-CGCM3     0.10   0.21   0.16   0.40
       NorESM1-M     0.17   0.30   0.30   1.18
      NorESM1-ME     0.24   0.64   0.50   1.11
SEA ANN
      HadGEM2-ES     0.31   0.37   0.45   0.45
       ACCESS1-0      NaN   0.28    NaN   0.16
       ACCESS1-3      NaN   0.18    NaN   0.03
      bcc-csm1-1    -0.00   0.06   0.05   0.19
    bcc-csm1-1-m    -0.05   0.07   0.03   0.14
         BNU-ESM    -0.04   0.10    NaN   0.34
          CanCM4      NaN    NaN    NaN    NaN
         CanESM2     0.14   0.19    NaN   0.11
      CESM1-CAM5    -0.12   0.17  -0.00   0.10
  CESM1-FASTCHEM      NaN    NaN    NaN    NaN
     CESM1-WACCM      NaN    NaN    NaN    NaN
       CMCC-CESM      NaN    NaN    NaN   0.11
         CMCC-CM      NaN   0.43    NaN   0.62
        CMCC-CMS      NaN   0.46    NaN   0.63
           CCSM4     0.16   0.25   0.30   0.62
        CNRM-CM5     0.12   0.15    NaN   0.33
   CSIRO-Mk3-6-0     0.19   0.51   0.31   0.20
        EC-EARTH      NaN    NaN    NaN   0.62
       FGOALS-g2     0.20   0.39    NaN   0.40
         FIO-ESM    -0.06   0.07   0.07   0.28
        GFDL-CM3     0.47   0.56   0.61   0.79
      GFDL-ESM2G     0.31   0.65   0.66   0.96
      GFDL-ESM2M     0.12   0.41   0.68   0.92
       GISS-E2-R     0.05   0.07  -0.03  -0.10
       GISS-E2-H     0.06   0.04   0.14   0.04
    GISS-E2-R-CC      NaN  -0.01    NaN    NaN
    GISS-E2-H-CC      NaN  -0.06    NaN    NaN
          HadCM3      NaN    NaN    NaN    NaN
       HadGEM2-A      NaN    NaN    NaN    NaN
      HadGEM2-CC      NaN   0.34    NaN   0.33
      HadGEM2-AO    -0.06   0.33  -0.02   0.02
          inmcm4      NaN   0.54    NaN   0.99
    IPSL-CM5A-LR     0.49   0.71   0.72   1.32
    IPSL-CM5A-MR     0.54   0.86   0.91   1.60
    IPSL-CM5B-LR      NaN   0.10    NaN   0.13
          MIROC5     0.12   0.28  -0.02   0.17
       MIROC-ESM     0.11   0.19   0.16   0.22
  MIROC-ESM-CHEM     0.09   0.16   0.10   0.23
      MPI-ESM-LR     0.13   0.39    NaN   0.63
      MPI-ESM-MR     0.07   0.30    NaN   0.56
       MPI-ESM-P      NaN    NaN    NaN    NaN
       MRI-CGCM3     0.13   0.20   0.01   0.25
       NorESM1-M     0.20   0.35   0.36   0.88
      NorESM1-ME     0.28   0.54   0.49   0.88
NAU DJF
      HadGEM2-ES    -0.51  -0.16  -0.21  -0.39
       ACCESS1-0      NaN   0.05    NaN   0.02
       ACCESS1-3      NaN  -0.49    NaN  -0.56
      bcc-csm1-1    -0.13  -0.09  -0.10  -0.15
    bcc-csm1-1-m     0.07   0.15   0.17   0.32
         BNU-ESM     0.35   0.19    NaN   1.01
          CanCM4      NaN    NaN    NaN    NaN
         CanESM2    -0.14   0.28    NaN   0.16
      CESM1-CAM5     0.10   0.26   0.07   0.24
  CESM1-FASTCHEM      NaN    NaN    NaN    NaN
     CESM1-WACCM      NaN    NaN    NaN    NaN
       CMCC-CESM      NaN    NaN    NaN  -0.38
         CMCC-CM      NaN  -0.24    NaN   0.15
        CMCC-CMS      NaN  -0.02    NaN  -0.13
